id,query,answer_ids,answer_ids_list,answer_count
7521,What wristlet lanyard would go well with my Golden State Warriors Wristlet Keychain Lanyard? Can you suggest a good match?,"[771848, 229398, 360711]","['771848', '229398', '360711']",3
3395,"Is there a horse calming supplement that promotes tranquility, balance, and a healthy nervous system? I am also interested in supplements that support causes like The Healing Barns Rescue, Rehab, and Sanctuary.",[304943],['304943'],1
1544,Looking for suggestions on a spacious aluminum boat bench seat that's lightweight and durable. It should also feature UV protected vinyl for added comfort.,"[72832, 134017, 531652, 211690, 102540, 72817, 211698, 110385, 486874, 72827, 715229]","['72832', '134017', '531652', '211690', '102540', '72817', '211698', '110385', '486874', '72827', '715229']",11
7726,Where can I find a Xara soccer jersey made from X-Lite Polyester?,"[714199, 714217, 237066, 797485, 413551, 119216, 425842, 714196, 58965, 237078, 237079, 119221, 425853, 425854, 119231]","['714199', '714217', '237066', '797485', '413551', '119216', '425842', '714196', '58965', '237078', '237079', '119221', '425853', '425854', '119231']",15
7502,Looking for suggestions on a brown leather WWII German Military holster for the German Luger P08 Pistol with solid stitching and uniformly brown coloration.,"[526913, 200898, 200897, 383724, 769807, 294959, 642129, 769810, 769809, 294964, 487228]","['526913', '200898', '200897', '383724', '769807', '294959', '642129', '769810', '769809', '294964', '487228']",11
8522,"Looking for a golf driver that offers adjustable loft, lie, and face angle to fit my personal preferences and produces a solid and resonant impact sound. Can you suggest one?","[397288, 299656, 380842, 646604, 692284, 875091, 875095, 200314, 703035, 889244, 654075]","['397288', '299656', '380842', '646604', '692284', '875091', '875095', '200314', '703035', '889244', '654075']",11
3774,What are some recommended replacements for worn-out golf shoe spike cleaners that would be compatible and easily adaptable for E-Z-GO TXT Vehicles and other golf carts?,[347463],['347463'],1
6841,"Can you recommend a reasonably priced, lightweight women's bikini swimsuit? I'm ideally searching for something around the 3.2 ounces range which offers a great balance of value for the price.","[689669, 879191, 268045, 690350, 501300, 455703, 542233, 455706]","['689669', '879191', '268045', '690350', '501300', '455703', '542233', '455706']",8
5425,Where can I find a threading alignment tool or die starter for my 7.62mm rifle that is approximately 1.5 inches in length? It should ideally work well with cutting oil. I'm also interested in finding helpful YouTube tutorials for installation.,"[851653, 880520, 630476, 549401, 533555, 630489, 867647]","['851653', '880520', '630476', '549401', '533555', '630489', '867647']",7
3263,"Can you suggest an officially licensed team sports necklace with intricate logos? I'm interested in one that symbolizes good fortune, wisdom, and protection.","[739808, 934785, 196162, 120932, 504100, 103292, 290444, 262417, 267862, 147062, 199705, 119100]","['739808', '934785', '196162', '120932', '504100', '103292', '290444', '262417', '267862', '147062', '199705', '119100']",12
